,Acids and Bases,Atomic Structure,Bonding,Electro-chemistry,Equilibrium,Formulas and equations,Gases,Intro Concepts,Kinetics,Laboratory,Metals and Non-metals,Molecular Geometry,Redox,Periodic Properties,Stoichiometry,Thermo-chemistry
Student 1,1,4,3,2,1,4,1,1,2,3,3,2,2,1,0,3
Student 2,2,4,1,1,3,4,1,2,2,3,3,2,0,0,0,0
Student 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 5,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Student 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 7,4,5,4,5,5,4,5,5,4,5,5,5,5,5,4,4
Student 8,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 9,3,4,4,4,2,1,4,1,4,4,3,3,1,3,2,4
Student 10,3,4,2,3,3,1,5,5,5,4,2,4,0,0,0,0
Student 11,4,4,3,2,5,2,4,5,5,4,4,5,0,0,0,0
Student 12,4,4,3,5,0,0,0,0,5,4,4,5,5,4,3,5
Student 13,5,5,4,3,5,3,5,5,5,3,5,5,5,4,4,5
Student 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 15,4,5,4,5,4,1,3,3,3,2,1,1,4,4,1,3
Student 16,4,4,2,3,2,2,3,3,2,4,2,3,3,4,3,3
Student 17,0,0,0,0,0,0,0,0,5,2,4,2,0,0,0,0
Student 18,4,4,4,3,3,5,4,4,5,4,5,5,3,5,5,5
Student 19,4,5,5,3,5,2,5,4,0,0,0,0,0,0,0,0
Student 20,2,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0
Student 21,3,3,3,1,4,4,3,4,0,0,0,0,0,0,0,0
Student 22,0,4,3,0,2,0,4,1,3,2,2,1,4,3,2,4
Student 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0